asset,dataset,model,strategy,auc,accuracy,trades,run_id,freq,Return_Ann,Vol_Ann,Sharpe,MaxDD
USDCNY,,,KW_LSTM,,,,,W,-0.0016507936507936,0.0008862608359446,-1.8626498924937551,-0.0019985004999373
USDCNY,,,KW_MLP,,,,,W,-0.0033015873015873,0.0012101296304438,-2.72829225772802,-0.0039930069956264
USDCNY,,,KW_LR,,,,,W,-0.0061176470588235,0.0015407830124594,-3.970479301337933,-0.0079700698863856
USDCNY,,,KW_XGB,,,,,W,-0.012235294117647,0.0018130344569407,-6.748517145279452,-0.0158766177587772
USDCNY,,,KW_GRU,,,,,W,-0.0016507936507936,0.0008862608359446,-1.8626498924937551,-0.0019985004999373
USDCNY,,,KW_RF,,,,,W,-0.0103235294117647,0.001777270895205,-5.808641462377457,-0.0134126145306417
USDCNY,,,KW_LSTM,,,,,W,-0.0008253968253968,0.0006372142392375,-1.2953207486141278,-0.0009997499999998
USDCNY,,,KW_MLP,,,,,W,-0.0024761904761904,0.0010668874579477,-2.320948154132001,-0.0029962524990624
USDCNY,,,KW_RF,,,,,W,-0.0080294117647058,0.0016781794349767,-4.7845966869550285,-0.0104476658765715
USDCNY,,,KW_XGB,,,,,W,-0.0076470588235294,0.0016550664493342,-4.6203938377249045,-0.0099526421976704
USDCNY,,,KW_LR,,,,,W,-0.0076470588235294,0.0016550664493342,-4.6203938377249045,-0.0099526421976704
USDCNY,,,KW_GRU,,,,,W,-0.0016507936507936,0.0008862608359446,-1.8626498924937551,-0.0019985004999373
USDCNY,,,KW_RF,,,,,W,-0.0084117647058823,0.0016993000676542,-4.950134979688491,-0.0109424420436331
USDCNY,,,KW_LR,,,,,W,-0.0061176470588235,0.0015407830124594,-3.970479301337933,-0.0079700698863856
USDCNY,,,KW_LSTM,,,,,W,0.0,0.0,,0.0
USDCNY,,,KW_MLP,,,,,W,-0.007015873015873,0.0016132769664271,-4.348833561673287,-0.0084660848514424
USDCNY,,,KW_XGB,,,,,W,-0.012235294117647,0.0018130344569407,-6.748517145279454,-0.0158766177587772
USDCNY,,,KW_MLP,,,,,W,-0.0008253968253968,0.0006372142392375,-1.2953207486141285,-0.0009997499999998
USDCNY,,,KW_XGB,,,,,W,-0.0114705882352941,0.0018035668493732,-6.359946258316082,-0.01489175579163
USDCNY,,,KW_RF,,,,,W,-0.0068823529411764,0.0016025111987845,-4.2947300127427,-0.0089618518090166
USDCNY,,,KW_GRU,,,,,W,-0.0033015873015873,0.0012101296304438,-2.728292257728019,-0.0039930069956264
USDCNY,,,KW_LR,,,,,W,-0.0080294117647058,0.0016781794349767,-4.7845966869550285,-0.0104476658765715
USDCNY,,,KW_LSTM,,,,,W,0.0,0.0,,0.0
