dataset,asset,freq,strategy_id,family,ann_return,sharpe,max_dd,params
base,BTC,D,HYB_CONF_RF_cls_TA_MACD_12-26-9_prob052,HYBRID_CONF,-0.0573361485570729,-0.0591163960195337,-0.5024439836345823,"{""model"": ""RF_cls"", ""hi"": 0.52, ""lo"": 0.48, ""ta"": ""TA_MACD_12-26-9""}"
base,BTC,D,HYB_CONF_RF_cls_TA_MACD_12-26-9_prob055,HYBRID_CONF,-0.1031151421481476,-0.3595134140366012,-0.5687731366998251,"{""model"": ""RF_cls"", ""hi"": 0.55, ""lo"": 0.45, ""ta"": ""TA_MACD_12-26-9""}"
base,BTC,D,HYB_CONF_RF_cls_TA_MACD_12-26-9_prob060,HYBRID_CONF,-0.0171053032695636,-0.2032981120259029,-0.2062785214131228,"{""model"": ""RF_cls"", ""hi"": 0.6, ""lo"": 0.4, ""ta"": ""TA_MACD_12-26-9""}"
base,BTC,D,HYB_CONF_RF_cls_TA_MACD_19-39-9_prob052,HYBRID_CONF,0.0217582589489351,0.2145287675174896,-0.4356716631224666,"{""model"": ""RF_cls"", ""hi"": 0.52, ""lo"": 0.48, ""ta"": ""TA_MACD_19-39-9""}"
base,BTC,D,HYB_CONF_RF_cls_TA_MACD_19-39-9_prob055,HYBRID_CONF,-0.0367024620706711,-0.072693777561644,-0.4676150859219706,"{""model"": ""RF_cls"", ""hi"": 0.55, ""lo"": 0.45, ""ta"": ""TA_MACD_19-39-9""}"
base,BTC,D,HYB_CONF_RF_cls_TA_MACD_19-39-9_prob060,HYBRID_CONF,-0.0130600514263243,-0.1588823036303848,-0.1519409781267628,"{""model"": ""RF_cls"", ""hi"": 0.6, ""lo"": 0.4, ""ta"": ""TA_MACD_19-39-9""}"
base,BTC,D,HYB_CONF_RF_cls_TA_MAcross_10-50_prob052,HYBRID_CONF,-0.0154023703206006,0.0466915417834225,-0.4562762894584947,"{""model"": ""RF_cls"", ""hi"": 0.52, ""lo"": 0.48, ""ta"": ""TA_MAcross_10-50""}"
base,BTC,D,HYB_CONF_RF_cls_TA_MAcross_10-50_prob055,HYBRID_CONF,-0.0115047968808406,0.0285598678276691,-0.3997987128684992,"{""model"": ""RF_cls"", ""hi"": 0.55, ""lo"": 0.45, ""ta"": ""TA_MAcross_10-50""}"
base,BTC,D,HYB_CONF_RF_cls_TA_MAcross_10-50_prob060,HYBRID_CONF,-0.0262986561986291,-0.4910452945265704,-0.1325714115198253,"{""model"": ""RF_cls"", ""hi"": 0.6, ""lo"": 0.4, ""ta"": ""TA_MAcross_10-50""}"
base,BTC,D,HYB_CONF_RF_cls_TA_MAcross_20-100_prob052,HYBRID_CONF,-0.0018880079987732,0.1011955430104931,-0.3856928039743432,"{""model"": ""RF_cls"", ""hi"": 0.52, ""lo"": 0.48, ""ta"": ""TA_MAcross_20-100""}"
base,BTC,D,HYB_CONF_RF_cls_TA_MAcross_20-100_prob055,HYBRID_CONF,0.0320365739667893,0.2689385344822271,-0.3685489894440333,"{""model"": ""RF_cls"", ""hi"": 0.55, ""lo"": 0.45, ""ta"": ""TA_MAcross_20-100""}"
base,BTC,D,HYB_CONF_RF_cls_TA_MAcross_20-100_prob060,HYBRID_CONF,-0.0061348972609863,-0.1390945806524627,-0.0600602454451382,"{""model"": ""RF_cls"", ""hi"": 0.6, ""lo"": 0.4, ""ta"": ""TA_MAcross_20-100""}"
base,BTC,D,HYB_CONF_RF_cls_TA_MAcross_50-200_prob052,HYBRID_CONF,0.0097539551815257,0.1435580771299036,-0.2726128804812237,"{""model"": ""RF_cls"", ""hi"": 0.52, ""lo"": 0.48, ""ta"": ""TA_MAcross_50-200""}"
base,BTC,D,HYB_CONF_RF_cls_TA_MAcross_50-200_prob055,HYBRID_CONF,-0.0392739496035464,-0.2883261785898399,-0.3502423357705978,"{""model"": ""RF_cls"", ""hi"": 0.55, ""lo"": 0.45, ""ta"": ""TA_MAcross_50-200""}"
base,BTC,D,HYB_CONF_RF_cls_TA_MAcross_50-200_prob060,HYBRID_CONF,-0.0225932993141055,-0.677735134513928,-0.090165914485479,"{""model"": ""RF_cls"", ""hi"": 0.6, ""lo"": 0.4, ""ta"": ""TA_MAcross_50-200""}"
base,BTC,D,HYB_CONF_RF_cls_TA_RSI14_65-35_prob052,HYBRID_CONF,0.0658143373704025,0.4028045933538282,-0.2887896487822539,"{""model"": ""RF_cls"", ""hi"": 0.52, ""lo"": 0.48, ""ta"": ""TA_RSI14_65-35""}"
base,BTC,D,HYB_CONF_RF_cls_TA_RSI14_65-35_prob055,HYBRID_CONF,0.028903881464003,0.2705229213554071,-0.1808719164139987,"{""model"": ""RF_cls"", ""hi"": 0.55, ""lo"": 0.45, ""ta"": ""TA_RSI14_65-35""}"
base,BTC,D,HYB_CONF_RF_cls_TA_RSI14_65-35_prob060,HYBRID_CONF,-0.0083825486863938,-0.2207023136028759,-0.0987032120926048,"{""model"": ""RF_cls"", ""hi"": 0.6, ""lo"": 0.4, ""ta"": ""TA_RSI14_65-35""}"
base,BTC,D,HYB_CONF_RF_cls_TA_RSI14_70-30_prob052,HYBRID_CONF,-0.0242075613125188,-0.085592931311148,-0.2990114828199892,"{""model"": ""RF_cls"", ""hi"": 0.52, ""lo"": 0.48, ""ta"": ""TA_RSI14_70-30""}"
base,BTC,D,HYB_CONF_RF_cls_TA_RSI14_70-30_prob055,HYBRID_CONF,0.0171496924244574,0.2053848654414987,-0.1359278200728899,"{""model"": ""RF_cls"", ""hi"": 0.55, ""lo"": 0.45, ""ta"": ""TA_RSI14_70-30""}"
base,BTC,D,HYB_CONF_RF_cls_TA_RSI14_70-30_prob060,HYBRID_CONF,-0.0068848950395735,-0.2278671370167949,-0.0627388720898353,"{""model"": ""RF_cls"", ""hi"": 0.6, ""lo"": 0.4, ""ta"": ""TA_RSI14_70-30""}"
base,BTC,D,HYB_CONF_RF_cls_TA_RSI21_65-35_prob052,HYBRID_CONF,-0.0101395215882877,0.0370836701246634,-0.2859884197380171,"{""model"": ""RF_cls"", ""hi"": 0.52, ""lo"": 0.48, ""ta"": ""TA_RSI21_65-35""}"
base,BTC,D,HYB_CONF_RF_cls_TA_RSI21_65-35_prob055,HYBRID_CONF,-0.040364386669304,-0.2993749249510879,-0.2423563260496406,"{""model"": ""RF_cls"", ""hi"": 0.55, ""lo"": 0.45, ""ta"": ""TA_RSI21_65-35""}"
base,BTC,D,HYB_CONF_RF_cls_TA_RSI21_65-35_prob060,HYBRID_CONF,-0.0137714162256771,-0.5000801668987861,-0.0712682877679402,"{""model"": ""RF_cls"", ""hi"": 0.6, ""lo"": 0.4, ""ta"": ""TA_RSI21_65-35""}"
base,BTC,D,HYB_CONF_RF_cls_TA_RSI21_70-30_prob052,HYBRID_CONF,0.035914690002794,0.3398360001221774,-0.1587996778106107,"{""model"": ""RF_cls"", ""hi"": 0.52, ""lo"": 0.48, ""ta"": ""TA_RSI21_70-30""}"
base,BTC,D,HYB_CONF_RF_cls_TA_RSI21_70-30_prob055,HYBRID_CONF,-0.0251526526738674,-0.3385294432565267,-0.1262092135792333,"{""model"": ""RF_cls"", ""hi"": 0.55, ""lo"": 0.45, ""ta"": ""TA_RSI21_70-30""}"
base,BTC,D,HYB_CONF_RF_cls_TA_RSI21_70-30_prob060,HYBRID_CONF,-0.0011541098863405,-0.6782591520556444,-0.004763526945248,"{""model"": ""RF_cls"", ""hi"": 0.6, ""lo"": 0.4, ""ta"": ""TA_RSI21_70-30""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_MACD_12-26-9_prob052,HYBRID_CONF,-0.0791128514836331,-0.0853126411090861,-0.4926746054697568,"{""model"": ""XGB_cls"", ""hi"": 0.52, ""lo"": 0.48, ""ta"": ""TA_MACD_12-26-9""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_MACD_12-26-9_prob055,HYBRID_CONF,-0.0927267194798672,-0.1508217929421366,-0.5025388402551785,"{""model"": ""XGB_cls"", ""hi"": 0.55, ""lo"": 0.45, ""ta"": ""TA_MACD_12-26-9""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_MACD_12-26-9_prob060,HYBRID_CONF,-0.0938745568992205,-0.1829171978361017,-0.5216882191045666,"{""model"": ""XGB_cls"", ""hi"": 0.6, ""lo"": 0.4, ""ta"": ""TA_MACD_12-26-9""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_MACD_19-39-9_prob052,HYBRID_CONF,0.0056791685823756,0.1801041113583918,-0.3866308338216524,"{""model"": ""XGB_cls"", ""hi"": 0.52, ""lo"": 0.48, ""ta"": ""TA_MACD_19-39-9""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_MACD_19-39-9_prob055,HYBRID_CONF,-0.0412220236906334,0.0138493620727459,-0.34691724603559,"{""model"": ""XGB_cls"", ""hi"": 0.55, ""lo"": 0.45, ""ta"": ""TA_MACD_19-39-9""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_MACD_19-39-9_prob060,HYBRID_CONF,-0.0754954305567017,-0.1358737291632619,-0.4316892393426194,"{""model"": ""XGB_cls"", ""hi"": 0.6, ""lo"": 0.4, ""ta"": ""TA_MACD_19-39-9""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_MAcross_10-50_prob052,HYBRID_CONF,-0.0813866071089191,-0.1416456391912214,-0.4736151659224379,"{""model"": ""XGB_cls"", ""hi"": 0.52, ""lo"": 0.48, ""ta"": ""TA_MAcross_10-50""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_MAcross_10-50_prob055,HYBRID_CONF,-0.1000036608513256,-0.2415406665187477,-0.5112715800528944,"{""model"": ""XGB_cls"", ""hi"": 0.55, ""lo"": 0.45, ""ta"": ""TA_MAcross_10-50""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_MAcross_10-50_prob060,HYBRID_CONF,-0.0844997705736776,-0.2168030499380578,-0.4095596252992407,"{""model"": ""XGB_cls"", ""hi"": 0.6, ""lo"": 0.4, ""ta"": ""TA_MAcross_10-50""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_MAcross_20-100_prob052,HYBRID_CONF,-0.0271156863961069,0.0538161159681234,-0.4116751698588798,"{""model"": ""XGB_cls"", ""hi"": 0.52, ""lo"": 0.48, ""ta"": ""TA_MAcross_20-100""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_MAcross_20-100_prob055,HYBRID_CONF,-0.0067608800747296,0.1159941405412213,-0.4264776129760341,"{""model"": ""XGB_cls"", ""hi"": 0.55, ""lo"": 0.45, ""ta"": ""TA_MAcross_20-100""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_MAcross_20-100_prob060,HYBRID_CONF,-0.0096625358198246,0.0884532572511392,-0.3625925411114725,"{""model"": ""XGB_cls"", ""hi"": 0.6, ""lo"": 0.4, ""ta"": ""TA_MAcross_20-100""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_MAcross_50-200_prob052,HYBRID_CONF,0.033465487855667,0.256704984048842,-0.3098141886624705,"{""model"": ""XGB_cls"", ""hi"": 0.52, ""lo"": 0.48, ""ta"": ""TA_MAcross_50-200""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_MAcross_50-200_prob055,HYBRID_CONF,0.0277742179163449,0.234125684091263,-0.2939786225296891,"{""model"": ""XGB_cls"", ""hi"": 0.55, ""lo"": 0.45, ""ta"": ""TA_MAcross_50-200""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_MAcross_50-200_prob060,HYBRID_CONF,0.0045083074237792,0.1198432365077993,-0.2559433700520375,"{""model"": ""XGB_cls"", ""hi"": 0.6, ""lo"": 0.4, ""ta"": ""TA_MAcross_50-200""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_RSI14_65-35_prob052,HYBRID_CONF,-0.0246383072821753,0.0017992226842747,-0.3233944009122508,"{""model"": ""XGB_cls"", ""hi"": 0.52, ""lo"": 0.48, ""ta"": ""TA_RSI14_65-35""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_RSI14_65-35_prob055,HYBRID_CONF,-0.0212228318393439,0.0123585334561235,-0.2697775908506893,"{""model"": ""XGB_cls"", ""hi"": 0.55, ""lo"": 0.45, ""ta"": ""TA_RSI14_65-35""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_RSI14_65-35_prob060,HYBRID_CONF,0.0734340570904121,0.4505698340447271,-0.1739190203211139,"{""model"": ""XGB_cls"", ""hi"": 0.6, ""lo"": 0.4, ""ta"": ""TA_RSI14_65-35""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_RSI14_70-30_prob052,HYBRID_CONF,-0.0155459451979462,-0.0058131598266523,-0.3228082758612307,"{""model"": ""XGB_cls"", ""hi"": 0.52, ""lo"": 0.48, ""ta"": ""TA_RSI14_70-30""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_RSI14_70-30_prob055,HYBRID_CONF,-0.021439597235164,-0.0479656197191665,-0.3041079671396929,"{""model"": ""XGB_cls"", ""hi"": 0.55, ""lo"": 0.45, ""ta"": ""TA_RSI14_70-30""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_RSI14_70-30_prob060,HYBRID_CONF,-0.0003010915009659,0.0789087139609104,-0.2239342589276804,"{""model"": ""XGB_cls"", ""hi"": 0.6, ""lo"": 0.4, ""ta"": ""TA_RSI14_70-30""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_RSI21_65-35_prob052,HYBRID_CONF,-0.0192460450746037,-0.0042785749401127,-0.2852468945426192,"{""model"": ""XGB_cls"", ""hi"": 0.52, ""lo"": 0.48, ""ta"": ""TA_RSI21_65-35""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_RSI21_65-35_prob055,HYBRID_CONF,-0.0301723862013443,-0.0666186160799593,-0.2867792389991193,"{""model"": ""XGB_cls"", ""hi"": 0.55, ""lo"": 0.45, ""ta"": ""TA_RSI21_65-35""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_RSI21_65-35_prob060,HYBRID_CONF,0.0041440149033469,0.1135419195349993,-0.2515074595860289,"{""model"": ""XGB_cls"", ""hi"": 0.6, ""lo"": 0.4, ""ta"": ""TA_RSI21_65-35""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_RSI21_70-30_prob052,HYBRID_CONF,0.0503051258110236,0.4134289010363624,-0.1857234310172572,"{""model"": ""XGB_cls"", ""hi"": 0.52, ""lo"": 0.48, ""ta"": ""TA_RSI21_70-30""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_RSI21_70-30_prob055,HYBRID_CONF,0.0324934217384083,0.2977753766558297,-0.2135190811867193,"{""model"": ""XGB_cls"", ""hi"": 0.55, ""lo"": 0.45, ""ta"": ""TA_RSI21_70-30""}"
base,BTC,D,HYB_CONF_XGB_cls_TA_RSI21_70-30_prob060,HYBRID_CONF,0.058151353539934,0.4822431835989738,-0.1438742460599764,"{""model"": ""XGB_cls"", ""hi"": 0.6, ""lo"": 0.4, ""ta"": ""TA_RSI21_70-30""}"
base,BTC,D,HYB_WGT_RF_reg_TA_MACD_12-26-9_a0p25,HYBRID_WEIGHT,0.0102513559006274,0.2092882140587248,-0.5695982728633904,"{""model"": ""RF_reg"", ""alpha"": 0.25, ""ta"": ""TA_MACD_12-26-9"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_MACD_12-26-9_a0p5,HYBRID_WEIGHT,0.0892384551163179,0.4394353015383055,-0.493102576427096,"{""model"": ""RF_reg"", ""alpha"": 0.5, ""ta"": ""TA_MACD_12-26-9"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_MACD_12-26-9_a0p75,HYBRID_WEIGHT,0.1521301504757488,0.6448238049124606,-0.5026124560164593,"{""model"": ""RF_reg"", ""alpha"": 0.75, ""ta"": ""TA_MACD_12-26-9"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_MACD_19-39-9_a0p25,HYBRID_WEIGHT,0.1594517902372429,0.6004216396875655,-0.3971705919859406,"{""model"": ""RF_reg"", ""alpha"": 0.25, ""ta"": ""TA_MACD_19-39-9"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_MACD_19-39-9_a0p5,HYBRID_WEIGHT,0.1974643384623708,0.8020507880325689,-0.2855922113703392,"{""model"": ""RF_reg"", ""alpha"": 0.5, ""ta"": ""TA_MACD_19-39-9"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_MACD_19-39-9_a0p75,HYBRID_WEIGHT,0.2091046485034315,0.8503239518269582,-0.4049425658261151,"{""model"": ""RF_reg"", ""alpha"": 0.75, ""ta"": ""TA_MACD_19-39-9"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_MAcross_10-50_a0p25,HYBRID_WEIGHT,-0.0150966823078851,0.1238517585549593,-0.5274397528974458,"{""model"": ""RF_reg"", ""alpha"": 0.25, ""ta"": ""TA_MAcross_10-50"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_MAcross_10-50_a0p5,HYBRID_WEIGHT,0.0716644748204602,0.3928839067332922,-0.3542395895126559,"{""model"": ""RF_reg"", ""alpha"": 0.5, ""ta"": ""TA_MAcross_10-50"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_MAcross_10-50_a0p75,HYBRID_WEIGHT,0.1418090738803457,0.6328630730830581,-0.4405673776864458,"{""model"": ""RF_reg"", ""alpha"": 0.75, ""ta"": ""TA_MAcross_10-50"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_MAcross_20-100_a0p25,HYBRID_WEIGHT,0.0288181397030664,0.2497132639737382,-0.3838309833664559,"{""model"": ""RF_reg"", ""alpha"": 0.25, ""ta"": ""TA_MAcross_20-100"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_MAcross_20-100_a0p5,HYBRID_WEIGHT,0.0991277519726043,0.4831918529119304,-0.4171168197637761,"{""model"": ""RF_reg"", ""alpha"": 0.5, ""ta"": ""TA_MAcross_20-100"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_MAcross_20-100_a0p75,HYBRID_WEIGHT,0.1540789733477521,0.6595239068636434,-0.4673810441775641,"{""model"": ""RF_reg"", ""alpha"": 0.75, ""ta"": ""TA_MAcross_20-100"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_MAcross_50-200_a0p25,HYBRID_WEIGHT,0.1309419203285227,0.5693036232881594,-0.3507002268996658,"{""model"": ""RF_reg"", ""alpha"": 0.25, ""ta"": ""TA_MAcross_50-200"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_MAcross_50-200_a0p5,HYBRID_WEIGHT,0.1709674472423039,0.7788974164696607,-0.4065730982251647,"{""model"": ""RF_reg"", ""alpha"": 0.5, ""ta"": ""TA_MAcross_50-200"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_MAcross_50-200_a0p75,HYBRID_WEIGHT,0.191118119149501,0.8075088278894669,-0.4639630256687127,"{""model"": ""RF_reg"", ""alpha"": 0.75, ""ta"": ""TA_MAcross_50-200"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_RSI14_65-35_a0p25,HYBRID_WEIGHT,0.0252923237154476,0.2247113217005371,-0.3905800538817304,"{""model"": ""RF_reg"", ""alpha"": 0.25, ""ta"": ""TA_RSI14_65-35"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_RSI14_65-35_a0p5,HYBRID_WEIGHT,0.0940710275208034,0.4986108901381868,-0.3359143562603666,"{""model"": ""RF_reg"", ""alpha"": 0.5, ""ta"": ""TA_RSI14_65-35"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_RSI14_65-35_a0p75,HYBRID_WEIGHT,0.1513608710046452,0.6602530952904565,-0.4475765183733565,"{""model"": ""RF_reg"", ""alpha"": 0.75, ""ta"": ""TA_RSI14_65-35"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_RSI14_70-30_a0p25,HYBRID_WEIGHT,-0.0186163778661104,0.0029377435875496,-0.3126456152793754,"{""model"": ""RF_reg"", ""alpha"": 0.25, ""ta"": ""TA_RSI14_70-30"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_RSI14_70-30_a0p5,HYBRID_WEIGHT,0.0595344777105495,0.3821886361648298,-0.2909488432180994,"{""model"": ""RF_reg"", ""alpha"": 0.5, ""ta"": ""TA_RSI14_70-30"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_RSI14_70-30_a0p75,HYBRID_WEIGHT,0.1309447756419253,0.604217161638244,-0.4291715222682329,"{""model"": ""RF_reg"", ""alpha"": 0.75, ""ta"": ""TA_RSI14_70-30"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_RSI21_65-35_a0p25,HYBRID_WEIGHT,-0.0006166059994598,0.1068242144296263,-0.3737194969227116,"{""model"": ""RF_reg"", ""alpha"": 0.25, ""ta"": ""TA_RSI21_65-35"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_RSI21_65-35_a0p5,HYBRID_WEIGHT,0.071269305547859,0.4185279848593922,-0.4083269337363605,"{""model"": ""RF_reg"", ""alpha"": 0.5, ""ta"": ""TA_RSI21_65-35"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_RSI21_65-35_a0p75,HYBRID_WEIGHT,0.13647543080831,0.6128906672279331,-0.4872982121254116,"{""model"": ""RF_reg"", ""alpha"": 0.75, ""ta"": ""TA_RSI21_65-35"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_RSI21_70-30_a0p25,HYBRID_WEIGHT,0.045416576761726,0.3471975388090482,-0.1975668104457806,"{""model"": ""RF_reg"", ""alpha"": 0.25, ""ta"": ""TA_RSI21_70-30"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_RSI21_70-30_a0p5,HYBRID_WEIGHT,0.1015494029070041,0.5899337690607671,-0.2976722578267421,"{""model"": ""RF_reg"", ""alpha"": 0.5, ""ta"": ""TA_RSI21_70-30"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_RF_reg_TA_RSI21_70-30_a0p75,HYBRID_WEIGHT,0.150695611277003,0.6739352855520028,-0.4346878986970153,"{""model"": ""RF_reg"", ""alpha"": 0.75, ""ta"": ""TA_RSI21_70-30"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_XGB_reg_TA_MACD_12-26-9_a0p25,HYBRID_WEIGHT,-0.0294525382205393,0.1015661022601461,-0.5572465230178663,"{""model"": ""XGB_reg"", ""alpha"": 0.25, ""ta"": ""TA_MACD_12-26-9"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_XGB_reg_TA_MACD_12-26-9_a0p5,HYBRID_WEIGHT,0.0047981000488253,0.1690425132502668,-0.4910735296028569,"{""model"": ""XGB_reg"", ""alpha"": 0.5, ""ta"": ""TA_MACD_12-26-9"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_XGB_reg_TA_MACD_12-26-9_a0p75,HYBRID_WEIGHT,0.0187378641490982,0.2133837002928421,-0.5124437212455719,"{""model"": ""XGB_reg"", ""alpha"": 0.75, ""ta"": ""TA_MACD_12-26-9"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_XGB_reg_TA_MACD_19-39-9_a0p25,HYBRID_WEIGHT,0.1126518030592094,0.4794366809664855,-0.3721236470852589,"{""model"": ""XGB_reg"", ""alpha"": 0.25, ""ta"": ""TA_MACD_19-39-9"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_XGB_reg_TA_MACD_19-39-9_a0p5,HYBRID_WEIGHT,0.102247322307426,0.4836624380436966,-0.2698544726007107,"{""model"": ""XGB_reg"", ""alpha"": 0.5, ""ta"": ""TA_MACD_19-39-9"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_XGB_reg_TA_MACD_19-39-9_a0p75,HYBRID_WEIGHT,0.0665724033018613,0.3673204321791526,-0.4205532457246671,"{""model"": ""XGB_reg"", ""alpha"": 0.75, ""ta"": ""TA_MACD_19-39-9"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_XGB_reg_TA_MAcross_10-50_a0p25,HYBRID_WEIGHT,-0.0513746026100526,0.0077231405314853,-0.5811097688081874,"{""model"": ""XGB_reg"", ""alpha"": 0.25, ""ta"": ""TA_MAcross_10-50"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_XGB_reg_TA_MAcross_10-50_a0p5,HYBRID_WEIGHT,-0.0087601125447246,0.0990463664248668,-0.4784271003977325,"{""model"": ""XGB_reg"", ""alpha"": 0.5, ""ta"": ""TA_MAcross_10-50"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_XGB_reg_TA_MAcross_10-50_a0p75,HYBRID_WEIGHT,0.0113522931202114,0.1790455730325253,-0.5086332892714779,"{""model"": ""XGB_reg"", ""alpha"": 0.75, ""ta"": ""TA_MAcross_10-50"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_XGB_reg_TA_MAcross_20-100_a0p25,HYBRID_WEIGHT,-0.0082035086061655,0.1330240265458282,-0.3838309833664559,"{""model"": ""XGB_reg"", ""alpha"": 0.25, ""ta"": ""TA_MAcross_20-100"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_XGB_reg_TA_MAcross_20-100_a0p5,HYBRID_WEIGHT,0.018034795101133,0.1991154164875723,-0.4308899068878897,"{""model"": ""XGB_reg"", ""alpha"": 0.5, ""ta"": ""TA_MAcross_20-100"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_XGB_reg_TA_MAcross_20-100_a0p75,HYBRID_WEIGHT,0.0234862594085181,0.2224560890339847,-0.4861072915472142,"{""model"": ""XGB_reg"", ""alpha"": 0.75, ""ta"": ""TA_MAcross_20-100"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_XGB_reg_TA_MAcross_50-200_a0p25,HYBRID_WEIGHT,0.0917495294706973,0.4560518644902684,-0.3585605616179631,"{""model"": ""XGB_reg"", ""alpha"": 0.25, ""ta"": ""TA_MAcross_50-200"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_XGB_reg_TA_MAcross_50-200_a0p5,HYBRID_WEIGHT,0.0866891844220367,0.4828127432151094,-0.4207477540035421,"{""model"": ""XGB_reg"", ""alpha"": 0.5, ""ta"": ""TA_MAcross_50-200"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_XGB_reg_TA_MAcross_50-200_a0p75,HYBRID_WEIGHT,0.0579875845168813,0.3451350891646055,-0.4829130046110906,"{""model"": ""XGB_reg"", ""alpha"": 0.75, ""ta"": ""TA_MAcross_50-200"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_XGB_reg_TA_RSI14_65-35_a0p25,HYBRID_WEIGHT,-0.0143375069371864,0.0711053065467928,-0.4531604831021912,"{""model"": ""XGB_reg"", ""alpha"": 0.25, ""ta"": ""TA_RSI14_65-35"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_XGB_reg_TA_RSI14_65-35_a0p5,HYBRID_WEIGHT,0.0096858665651453,0.1622892265122685,-0.4202020381335779,"{""model"": ""XGB_reg"", ""alpha"": 0.5, ""ta"": ""TA_RSI14_65-35"", ""k"": 2.0}"
base,BTC,D,HYB_WGT_XGB_reg_TA_RSI14_65-35_a0p75,HYBRID_WEIGHT,0.0172372609399389,0.2026872574537193,-0.4880548145315559,"{""model"": ""XGB_reg"", ""alpha"": 0.75, ""ta"": ""TA_RSI14_65-35"", ""k"": 2.0}"
